"12 Halton Cl, Painshawfield, Stocksfield NE43 7ET, UK"
"17 Lockview Court, Ebberns Rd, Hemel Hempstead HP3 9DA, UK"
"1 Hampton Ct Cres, Graburn Way, Molesey, East Molesey KT8 9BA, UK"
"Kilpin Cl, Heckmondwike WF16, UK"
"1 Anvil Ct, Cullingworth, Bradford BD13 5DB, UK"
"1 Council Houses, Bondleigh, North Tawton EX20 2AL, UK"
"21 Derry Downs, Orpington BR5 4DT, UK"
"2 Netherfield Hill, Battle TN33, UK"
"Froude Rd, Salcombe TQ8, UK"
"1349 Dumbarton Rd, Glasgow G14 9UZ, UK"
"2 Stanley Pl, Lincoln LN5 7LY, UK"
"11 Miller Ave, Wakefield WF2 7DJ, UK"
"122 The Broadway, Southend-on-Sea SS99 6HA, UK"
"73 Butterley Ln, New Mill, Holmfirth HD9 7EZ, UK"
"154 Malt Mill Ln, Halesowen B62 8JB, UK"
"251 Raeburn Ave, Surbiton KT5 9DF, UK"
"Burnthouse Ln, Horsham RH13 6NL, UK"
"Parsons Way, Ash, Aldershot GU12 6QH, UK"
"83 Piper's Hill Rd, Kettering NN15 7NL, UK"
"1 Ossington Cl, Nottingham NG1 4EU, UK"
"41 Hawkers Ln, Wells BA5 3JJ, UK"
"A413, Chalfont Saint Giles HP8, UK"
"The Savoy, 41-43 Grange Rd, Ramsgate CT11 9NB, UK"
"24 Collins Ave, Blackpool FY2 0NS, UK"
"Unnamed Road, Worcester WR6, UK"
"900 Arterial Rd West Thurrock, Grays RM20 2ZS, UK"
"111 Belmont St, Hull HU9 2RJ, UK"
"New Dukes Way, Chelmsford CM2, UK"
"9 Masefield Rd, Stoke-on-Trent ST3 2EX, UK"
"10 Dougall St, Tayport DD6 9JB, UK"
"4 Station Cottages, Station Approach, Saxilby, Lincoln LN1 2HB, UK"
"322 Fold Croft, Harlow CM20 1TL, UK"
"2 Grey Cl, Bredbury, Stockport SK6 1HA, UK"
